,seccion,titulo,url,cmp,idx,dominio,crawl_day
0,sociedad,La Educación no consigue recuperarse de los recortes que el PP impuso por decreto hace una década,https://www.eldiario.es/sociedad/educacion-no-recuperarse-recortes-pp-impuso-decreto-decada_1_9559396.html,Apertura,0,www.eldiario.es,2022-10-03
1,economia,"Las rebajas fiscales evidencian la ideología en los impuestos: la derecha favorece a los ricos y la izquierda, a los trabajadores",https://www.eldiario.es/economia/rebajas-fiscales-evidencian-ideologia-impuestos-derecha-favorece-ricos-izquierda-trabajadores_1_9583778.html,Apertura,2,www.eldiario.es,2022-10-03
2,politica,Feijóo se cobija en el bipartidismo y la élite empresarial para su ofensiva fiscal contra Sánchez,https://www.eldiario.es/politica/feijoo-cobija-bipartidismo-elite-empresarial-ofensiva-fiscal-sanchez_129_9587317.html,Apertura,5,www.eldiario.es,2022-10-03
3,internacional,Lula da Silva se enfrenta a Jair Bolsonaro en un duelo histórico para Brasil,https://www.eldiario.es/internacional/lula-enfrenta-bolsonaro-duelo-historico-brasil_1_9567743.html,Apertura,8,www.eldiario.es,2022-10-03
4,politica,El ansia por reducir impuestos consigue que Liz Truss hunda la economía británica en unos pocos días,https://www.eldiario.es/politica/ansia-reducir-impuestos-liz-truss-hunda-economia-britanica-dias_129_9583720.html,Apertura,11,www.eldiario.es,2022-10-03
5,politica,Cinco meses de guerra fría hasta que Ayuso se revolvió contra Feijóo,https://www.eldiario.es/politica/cinco-meses-guerra-fria-ayuso-revolvio-feijoo_1_9574411.html,Apertura,13,www.eldiario.es,2022-10-03
6,politica,Objetivo Irene Montero: la eterna campaña de la extrema derecha contra la ministra de Igualdad,https://www.eldiario.es/politica/objetivo-irene-montero-eterna-campana-extrema-derecha-ministra-igualdad_1_9585213.html,Apertura,16,www.eldiario.es,2022-10-03
7,galicia,La Xunta obliga a retirar cartelería de una obra de teatro titulada 'Recortes' para que un conselleiro evite fotos con esa palabra,https://www.eldiario.es/galicia/xunta-obliga-retirar-carteleria-obra-teatro-titulada-recortes-conselleiro-evite-fotos-palabra_1_9583692.html,Apertura,18,www.eldiario.es,2022-10-03
8,politica,"San Chin Choon, un tal Anthony y la coartada fantasma de los comisionistas de las mascarillas",https://www.eldiario.es/politica/san-chin-choon-anthony-coartada-fantasma-comisionistas-mascarillas_1_9583570.html,Poti,0,www.eldiario.es,2022-10-03
9,,Zelenski asegura que las tropas rusas han abandonado por completo la ciudad de Limán,https://www.eldiario.es/internacional/ultima-hora-invasion-rusa-ucrania-directo-2-de-octubre_6_9587985_1094233.html,Poti,2,www.eldiario.es,2022-10-03
